"Table S3: The table provides the IMPPAT Phytochemical identifier, Chemical name, SMILES, InChI and QEDw score for the 1335 drug-like phytochemicals in IMPPAT 2.0 identified in this study.",,,,
IMPPAT Phytochemical identifier,Chemical name,SMILES,InChI,QEDw
IMPHY009065,"5-Methoxy-8,8-dimethyl-4-oxopyrano[2,3-h]chromene-2-carboxylic acid",COc1cc2OC(C)(C)C=Cc2c2c1c(=O)cc(o2)C(=O)O,"InChI=1S/C16H14O6/c1-16(2)5-4-8-10(22-16)7-11(20-3)13-9(17)6-12(15(18)19)21-14(8)13/h4-7H,1-3H3,(H,18,19)",0.9175
IMPHY000127,Leridol,COc1c(C)c2OC(CC(=O)c2c(c1CO)O)c1ccccc1,"InChI=1S/C18H18O5/c1-10-17(22-2)12(9-19)16(21)15-13(20)8-14(23-18(10)15)11-6-4-3-5-7-11/h3-7,14,19,21H,8-9H2,1-2H3",0.9108
IMPHY003506,Persicogenin,COc1cc2OC(CC(=O)c2c(c1)O)c1ccc(c(c1)O)OC,"InChI=1S/C17H16O6/c1-21-10-6-12(19)17-13(20)8-15(23-16(17)7-10)9-3-4-14(22-2)11(18)5-9/h3-7,15,18-19H,8H2,1-2H3",0.9055
IMPHY009448,"5-Hydroxy-2-(4-hydroxy-3-methoxyphenyl)-7-methoxy-2,3-dihydrochromen-4-one",COc1cc2OC(CC(=O)c2c(c1)O)c1ccc(c(c1)OC)O,"InChI=1S/C17H16O6/c1-21-10-6-12(19)17-13(20)8-14(23-16(17)7-10)9-3-4-11(18)15(5-9)22-2/h3-7,14,18-19H,8H2,1-2H3",0.9055
IMPHY004797,Cajanol,COc1cc(O)c2c(c1)OCC(C2=O)c1ccc(cc1OC)O,"InChI=1S/C17H16O6/c1-21-10-6-13(19)16-15(7-10)23-8-12(17(16)20)11-4-3-9(18)5-14(11)22-2/h3-7,12,18-19H,8H2,1-2H3",0.9046
IMPHY004867,Homoferreirin,COc1ccc(c(c1)OC)C1COc2c(C1=O)c(O)cc(c2)O,"InChI=1S/C17H16O6/c1-21-10-3-4-11(14(7-10)22-2)12-8-23-15-6-9(18)5-13(19)16(15)17(12)20/h3-7,12,18-19H,8H2,1-2H3",0.9046
IMPHY014214,Ventiloquinone J,COC1=CC(=O)c2c(C1=O)c(OC)c1c(c2O)[C@@H](C)O[C@H](C1)C,"InChI=1S/C17H18O6/c1-7-5-9-12(8(2)23-7)16(20)13-10(18)6-11(21-3)15(19)14(13)17(9)22-4/h6-8,20H,5H2,1-4H3/t7-,8+/m0/s1",0.901
IMPHY013400,2-Hydroxy-4-methoxypterocarpin,COc1c(O)cc2c(c1OC)OCC1C2Oc2c1cc1c(c2)OCO1,"InChI=1S/C18H16O7/c1-20-17-11(19)3-9-15-10(6-22-16(9)18(17)21-2)8-4-13-14(24-7-23-13)5-12(8)25-15/h3-5,10,15,19H,6-7H2,1-2H3",0.8976
IMPHY005869,Helipyrone,CCc1oc(=O)c(c(c1C)O)Cc1c(=O)oc(c(c1O)C)CC,"InChI=1S/C17H20O6/c1-5-12-8(3)14(18)10(16(20)22-12)7-11-15(19)9(4)13(6-2)23-17(11)21/h18-19H,5-7H2,1-4H3",0.8964
IMPHY014669,5'-Hydroxy-3'-methoxysativan,COc1c(cc(c(c1OC)OC)O)C1COc2c(C1)ccc(c2)O,"InChI=1S/C18H20O6/c1-21-16-13(8-14(20)17(22-2)18(16)23-3)11-6-10-4-5-12(19)7-15(10)24-9-11/h4-5,7-8,11,19-20H,6,9H2,1-3H3",0.8964
IMPHY004724,Lathycarpin,COc1cc2OCC3(C(c2cc1OC)Oc1c3cc2c(c1)OCO2)O,"InChI=1S/C18H16O7/c1-20-13-3-9-11(5-14(13)21-2)22-7-18(19)10-4-15-16(24-8-23-15)6-12(10)25-17(9)18/h3-6,17,19H,7-8H2,1-2H3",0.8944
IMPHY000967,Cimifugin,COc1c2C[C@H](Oc2cc2c1c(=O)cc(o2)CO)C(O)(C)C,"InChI=1S/C16H18O6/c1-16(2,19)13-5-9-11(22-13)6-12-14(15(9)20-3)10(18)4-8(7-17)21-12/h4,6,13,17,19H,5,7H2,1-3H3/t13-/m0/s1",0.89
IMPHY014663,"2-(1-Hydroxyethyl)-2-acetyl-naphtho[2,3-b]furan-4,9-dione",O=C1C2=C(CC(O2)(C(O)C)C(=O)C)C(=O)c2c1cccc2,"InChI=1S/C16H14O5/c1-8(17)16(9(2)18)7-12-13(19)10-5-3-4-6-11(10)14(20)15(12)21-16/h3-6,8,17H,7H2,1-2H3",0.8896
IMPHY000764,Trimethylcolchicinic acid,COc1c(OC)c(OC)cc2c1-c1ccc(c(=O)cc1[C@H](CC2)N)O,"InChI=1S/C19H21NO5/c1-23-16-8-10-4-6-13(20)12-9-15(22)14(21)7-5-11(12)17(10)19(25-3)18(16)24-2/h5,7-9,13H,4,6,20H2,1-3H3,(H,21,22)/t13-/m0/s1",0.8891
IMPHY001826,Dihydrowogonin,COc1c(O)cc(c2c1OC(CC2=O)c1ccccc1)O,"InChI=1S/C16H14O5/c1-20-15-12(19)7-10(17)14-11(18)8-13(21-16(14)15)9-5-3-2-4-6-9/h2-7,13,17,19H,8H2,1H3",0.8874
IMPHY003321,"Flavanone, 5,7-dihydroxy-6-methoxy-",COc1c(O)cc2c(c1O)C(=O)C[C@H](O2)c1ccccc1,"InChI=1S/C16H14O5/c1-20-16-11(18)8-13-14(15(16)19)10(17)7-12(21-13)9-5-3-2-4-6-9/h2-6,8,12,18-19H,7H2,1H3/t12-/m0/s1",0.8874
